Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Weekend Reservations,Weekday Reservations,Revenue
4.8,78,73.85,9150,91714,7,751,57.75574479,5.8,1.3,67,7,1297333.3
3.4,49,63.91,940,12648,12,594,140.5910958,8,1.9,22,8,707915.91
4.9,37,31.33,4021,49725,12,882,254.3060719,5.6,5.8,8,10,282412.68
3.7,50,58.32,2654,29751,6,50,135.0368166,3.9,7.3,39,30,659796.63
3.9,75,53.58,6155,65421,14,692,122.9326676,3.3,9.2,23,36,917350.27
4.4,40,50.78,1308,17465,17,58,279.7487853,5.9,4.9,28,19,472570.71
4.2,52,45.52,2334,30509,17,558,124.3073195,5.1,2.1,6,51,547718.85
3.6,44,70.29,3194,38190,18,593,292.565421,5.7,9.4,17,22,713492.25
4.1,40,52.45,2715,31620,13,638,258.1589351,3.3,4.9,1,8,483963.55
4.5,74,60.61,8378,89801,13,862,221.0624797,6.3,5.5,27,45,1024290.63
3.1,45,65.37,638,9937,11,144,199.5815684,7,8.7,42,17,668670.03
3,90,29.39,5425,52699,3,746,106.1951449,8.3,6.3,40,25,603751.7
3.9,36,47.53,881,15038,17,326,232.5996092,6.3,3.7,28,15,401495.71
3.3,55,33.59,3200,38583,2,584,136.7845325,7.8,5.9,44,49,424462.57
4.3,38,44.38,1800,23928,2,971,171.41054,2.5,6.6,16,19,383272.06
3.4,76,70.48,4226,48246,7,166,76.01719551,2.1,9,16,15,1196887.3
3.9,72,33.9,3412,35971,10,505,124.0385275,2.6,3.1,30,15,556837.25
3.4,60,40.99,3388,35405,14,409,182.279867,8.6,6,22,48,570448.15
4.1,41,56.47,3396,39804,19,79,167.0103284,6,9.3,9,31,543195.13
3.2,50,30.06,772,7457,17,932,135.8782888,5.1,1.4,5,37,354064.37
3,60,38.09,654,7708,16,374,167.9824888,7.9,2.8,37,58,527585.55
3.1,31,61.66,694,10727,17,969,236.2315335,2.1,4.1,23,16,444629.83
4.9,30,62.83,1941,21205,18,123,164.831391,1.1,7.1,14,24,441498.39
3.3,71,64.09,4159,47693,11,881,176.5391179,3.8,8.6,26,52,1029119.58
4.4,43,65.19,1236,20136,19,468,225.2865203,3.2,2.8,10,35,642624.58
3.1,42,59.53,2365,23206,11,967,260.4037008,3.8,3.2,19,41,572270.54
3.2,54,33.15,2300,22694,10,856,181.7159445,9.8,8.4,45,53,420677.3
4,51,30.82,2537,29430,14,872,287.0439038,6.1,2.3,4,23,370281.72
3.9,88,35.63,1647,24710,14,791,138.3618609,6.3,3.4,31,78,714683.03
4.9,46,26.37,3976,49139,10,312,113.1387453,6.9,7.6,4,20,292579.21
4.9,40,29.93,4192,43570,4,495,223.272467,4.6,2.5,21,39,280989.1
4.6,45,47.32,3708,46116,10,600,93.93743416,9.8,8.5,0,15,495266.2
4.2,89,48.16,5636,62047,6,453,274.9919631,9.8,5.4,19,82,969613.07
3.9,87,52.13,5491,53983,11,153,146.6435457,7.9,5,50,19,1025521.51
3.7,69,68.94,1783,20842,18,489,224.5371637,2.9,2.2,31,4,1069409.84
4.9,77,51.13,2651,29687,6,913,192.5458806,8.9,7.1,58,14,887173.4
4.2,31,39.54,2332,24541,15,755,63.59771472,1.9,9,22,7,296268.77
4.2,46,26.86,2683,31728,6,192,227.2696768,6.7,7.2,27,9,290499.5
3.5,80,35.81,5792,57816,1,763,247.5011826,5.1,3.9,27,74,649612.81
3.1,43,32.6,2343,21703,9,966,295.6181077,1.4,7.3,16,33,328473.25
4.9,45,45.63,3819,44311,14,256,154.0319166,9.1,5.6,33,43,482957.58
3.6,84,71.8,4463,50781,3,595,175.732892,9.6,8.7,59,56,1351663.35
3.9,84,38.75,3588,37026,1,852,268.7168342,9.2,5.1,58,71,734931.05
3.2,32,68.74,2314,28085,14,932,117.2993283,2.7,3.1,27,7,507706.33
4.7,36,34.26,4600,48778,14,310,97.28565818,4,1.9,23,23,298590.7
3.1,41,33.98,1092,12071,4,873,83.22756827,9.6,3.5,1,33,320799.29
4.7,52,37.45,4054,44969,14,132,294.5630533,2,6.1,26,39,455558.3
3.3,68,56.31,2623,26229,4,312,117.5898089,6.2,2.5,8,20,854365.15
4.8,59,40.51,4522,51688,11,870,239.348625,5.4,1.4,51,51,553069.13
4.5,77,52.11,7924,87894,9,799,162.4167886,2.4,5,35,65,914520.63
3.3,65,61.6,2905,30441,11,221,110.1438437,9,4.1,56,18,905305.95
4.1,85,72.85,5772,60604,15,747,278.3334499,2.2,4.8,10,13,1389460.5
3.6,81,25.62,2050,20944,6,411,165.9518754,6.3,5.1,31,75,473833.1
3.4,54,29.71,2681,31607,12,91,191.4888485,3.9,7.9,26,36,376876.33
4.7,69,67.62,4673,49681,13,789,105.6233709,4.8,9.6,51,19,1057810.77
3.8,55,53.35,3207,38390,18,323,131.0380782,2.9,3.4,38,19,674167.7
3.8,35,74.6,888,17622,14,823,236.9218885,6.6,9.5,23,30,601671.9
3.3,57,33.09,2379,22982,11,549,135.7611932,9.9,3.1,26,28,438164.93
3.8,46,46.05,1508,22286,2,181,176.4896375,8.5,7.8,26,10,479453.8
4.7,81,57.79,2921,32339,19,502,78.5888693,7.1,7.1,39,55,1063671.52
3.7,43,66.14,2640,31845,2,959,262.5166154,7.8,1.5,31,10,639672.37
4.9,51,48.55,1084,14384,17,474,234.3954079,8.6,7.5,44,17,573559.7
4.9,88,60.92,6840,73639,8,992,240.1862135,5.3,9.1,85,73,1214801.55
3.3,75,75.71,6225,61155,5,658,94.54629952,6.1,9.4,48,17,1274919.15
3.4,87,29.39,3199,39133,11,102,173.7890382,9.1,7.2,47,8,587693.27
4.7,33,67.42,2893,33044,1,838,56.88531966,7.3,8.1,0,5,503949.14
3.8,54,36.83,3669,38003,16,446,128.7722694,2.2,1.6,52,11,464067.52
3,75,66.9,3371,38753,5,243,137.0048802,8,2.5,33,0,1118770.35
3.5,84,37.12,4439,44067,16,448,278.4225434,1.2,3.4,0,73,713627.13
4.2,75,63.38,4177,46151,5,513,298.1956997,8.6,5.8,41,65,1069533.83
4.6,37,65.67,2349,24573,10,404,204.4364754,8.1,4.5,34,7,556676.63
3.3,38,65.97,1981,21421,9,222,179.1921878,8.5,6.9,28,24,573619.33
3.2,70,60.75,1965,22135,19,389,160.0222336,1.2,5,17,29,961024.25
4.8,35,50.99,1437,21483,3,242,54.57405935,9.8,8,5,26,408032.69
4.5,71,58.93,6254,71777,9,479,250.0291366,6.5,7.4,5,43,949009.06
4.2,65,62.59,1095,19838,8,436,217.956461,8.2,7.7,38,31,914743.76
4.5,89,70.19,3079,38554,4,706,212.3214375,6.1,8.5,54,5,1391472.7
3.9,70,68.62,4270,46958,11,706,252.2608473,4.1,8.5,18,58,1084624.62
4.5,45,27.92,1184,17899,4,517,282.0135504,3.7,8,37,19,290270.07
3.7,50,55.18,2134,21130,12,837,147.3825047,1.6,1.6,2,13,624580.2
3.5,30,58.2,894,17248,7,821,156.6007242,5.9,6.6,20,22,401913.8
4.5,36,49.8,1387,18172,8,380,293.7847475,2.3,1.2,19,12,407666.1
3.8,65,38.85,3203,40009,10,576,216.1062128,6.1,7.7,4,47,579868.05
5,86,55.95,2788,29471,13,874,262.8377677,6.6,1.5,24,59,1082859.7
3.7,85,47.05,7087,75471,14,478,105.3923847,5,9.8,52,46,917206.7
4.8,65,27.08,1301,20889,16,844,129.2687977,2.4,6.5,11,9,411159.35
4.9,75,32.63,7490,83579,7,265,147.9013068,4.9,2.6,68,45,566328.89
3.5,67,59.47,3482,42354,16,325,129.2332782,8.9,5.2,11,7,904714.47
4.6,52,43.6,2048,23729,17,157,271.0617535,5.1,8.4,17,17,526321.65
3.9,37,32.8,974,10205,19,305,177.877549,4.1,2.6,2,11,291136.05
4.8,53,27.11,1058,13989,12,128,288.4117766,6.7,5.8,3,20,336081.75
3.9,33,41.19,1943,21259,9,439,130.3306111,6.6,1,18,25,317106.75
4.5,86,53.17,7360,73821,8,579,59.31115757,1.8,8.1,84,10,1035240.81
3.9,74,31.96,4208,42784,9,391,84.51535492,3.1,2.8,66,10,541555.92
3.5,83,71.6,4178,40934,5,354,104.2676082,5.4,4.5,6,51,1324526.1
3.4,84,38.14,1721,23946,10,774,209.9924252,4.3,5.8,8,29,723411.42
3.9,41,30.62,1215,18734,5,969,95.27197417,3.9,2.3,3,0,287826.04
4.5,82,33.05,3257,41958,14,258,145.374631,5,9.3,54,51,625631.55
4.2,67,48,1924,24893,18,60,248.846706,3.6,5.2,22,14,732682.65
4.4,63,51.29,3629,39929,7,195,81.18975378,4.1,3.1,10,27,727975.81
3.6,68,57.67,1284,12332,8,84,70.12003458,8,7.6,64,62,884598.66
4,36,74.23,814,11430,5,616,184.9925574,5.6,9,3,4,601073.43
3.1,75,50.29,1939,19150,6,400,224.5172548,8.9,9.2,8,44,848344.33
4.6,74,42.07,5747,61983,9,589,277.7382971,9.5,4.9,41,40,714291.74
5,73,73.73,5911,66446,9,905,215.4941682,9.3,4.2,70,71,1218866.24
3.8,47,39.85,2052,26670,8,725,286.5447194,3.3,9.4,25,37,432858.25
3,63,73.05,2438,26300,17,158,111.1315107,5.3,1.5,53,44,1040644.7
3.3,65,36.64,1236,19988,8,73,135.4553171,5.8,7.8,20,37,541458.28
4.3,89,34.4,6478,65379,1,722,259.8274196,8.7,2.6,9,51,693634.35
4.2,63,41.8,1770,19423,18,548,252.7634551,6,5.2,9,45,607293.95
4.6,54,41.7,2145,22710,15,421,216.2225898,3.3,9.6,0,52,521957.6
3.5,40,35.13,1522,23226,16,214,176.5060765,5.9,6.2,35,29,335909.42
4.5,41,27.74,1393,22055,2,446,54.42784822,1.4,5.7,2,3,258850.41
4.4,47,27.64,3015,37180,13,321,120.1109894,8.5,1.6,34,1,310539.42
3.6,33,30.65,2524,28352,2,673,89.58437638,6.1,3.5,11,20,235807.3
4.1,82,33.26,6967,70628,14,476,62.79370419,6.9,1,80,60,634823.38
3.3,49,39.92,1773,24932,7,122,244.0199298,2.8,8.9,18,32,447377.62
3.9,62,61.97,2255,29779,11,99,82.82802569,6,6.8,9,13,865261.45
4.8,73,59.98,6212,63673,15,672,139.3532232,5.8,2.1,42,57,997633.93
3.8,56,51.71,917,15305,17,574,294.3642194,6.6,4.3,25,27,662599.11
4.7,51,64.04,2430,30277,17,120,152.2883563,8.6,8.3,7,45,749441.69
4.2,70,31.99,4035,40734,15,980,85.37659731,7.9,2.3,51,40,523466.99
3.4,47,62.65,992,15247,16,541,222.4405941,5.9,3.1,38,8,671570.7
4.2,50,43.66,3759,37523,9,523,252.485427,9,5.9,1,33,504572.09
4,75,29.92,7781,78661,19,250,119.7876743,4.2,2.3,38,74,533141.59
3.8,85,28.56,3479,40110,9,852,252.3377521,5.4,4.4,53,18,556500.16
3.2,32,35.15,2260,30345,6,73,117.8802697,6.8,9.8,23,28,267477.1
3.8,64,38.77,852,15906,1,518,223.2779595,5,5.9,39,55,556604
3.1,90,58.61,5541,58801,5,486,81.20090489,4.3,7.3,28,43,1182387.96
3.2,49,38.93,1939,20107,5,263,156.9557372,2,7,7,37,433410.6
3.8,39,48.7,1629,22679,1,344,180.1234863,6.7,2.9,14,8,427083.55
3.6,38,30.49,900,10927,1,196,231.3208943,2.7,8.6,25,6,263621.32
4.9,60,72.73,2805,34074,6,989,212.5077975,2.2,2.1,47,30,977311.61
3.8,43,53.49,1765,18516,9,431,263.3357,2.6,9.3,35,2,525079.76
4.5,41,34.32,2785,27596,19,735,96.07276698,7.2,2.9,40,7,340849.62
4.1,36,52.29,3828,42704,5,478,215.3116372,2.2,9.6,3,8,432562.75
4.4,40,42.93,3846,45447,17,465,81.93752558,9.8,8.2,32,14,413012.93
3.5,86,58.27,4894,50578,12,54,169.5199803,7.8,2.5,11,7,1125633.94
4.9,78,26.06,5628,56521,6,893,181.1393826,4.5,2.4,49,64,470605.75
4.1,42,39.84,3764,39174,13,921,56.81585585,6.3,1.8,10,35,394737.82
4.7,65,37.45,3094,30981,8,439,67.589174,1.1,3.2,52,6,552490.9
3.7,72,72.13,4291,41717,3,899,259.8179527,8.6,6.9,49,9,1162599.73
3.2,34,45.65,1758,22600,11,56,121.6970895,3.4,5.7,29,20,361575.75
4.3,86,74,5864,62668,1,772,136.5362874,1.6,6.5,30,34,1416975.4
3,70,61.23,4751,50603,14,832,210.1015567,7.8,1.3,1,47,971465.59
4,70,64.33,974,14261,13,539,105.1786566,4,1.7,65,62,1013450.86
3.4,38,75.72,2053,28918,15,378,98.21564583,6.1,7.2,11,32,660329.2
4.3,46,35.53,3277,37296,8,325,155.3852574,8.6,8.6,17,11,382954.36
5,62,64.42,4415,51952,15,289,64.74917336,8,4.2,7,12,906816.84
3.9,64,65.12,2228,23564,13,876,279.2425626,4,2.5,2,30,937327.96
4.6,50,54.74,2150,27020,1,53,285.0272229,8.8,3.8,34,14,614012.52
4,37,65.83,2173,29530,11,763,162.0500411,4.5,4.7,32,34,559627.27
4,57,74.36,1282,17743,15,155,102.3098505,5.5,6.7,30,8,955281.71
4.9,71,38.08,9699,102358,4,89,167.6436487,6.5,4.7,67,69,626729.2
4.8,79,61.71,2197,29466,6,626,74.98329748,1.6,9.1,22,66,1090445.99
4.6,54,25.42,1473,17069,12,596,149.4493291,6.4,4.6,36,51,324583.41
3.6,85,33.48,6580,69223,1,605,68.41638717,6.2,2.6,44,13,645079.71
4.1,68,36.23,3500,39160,10,312,226.5414259,8.9,3.2,34,13,565121.97
3.4,70,34.52,3225,37690,18,711,118.9283875,4.2,5.2,64,48,563901.84
3.9,82,33.99,6004,67342,1,328,180.1648708,3.2,8,2,64,632264.86
4,33,72.65,3590,43377,7,626,53.38483758,5.3,8.8,9,32,550876.05
4.7,36,35.07,1512,20658,2,393,181.1591156,7.2,2.7,29,23,289352.42
4.8,70,49.43,4179,50275,8,837,50.81698444,6.1,1,27,9,781547.63
3.8,71,55.46,7330,73117,1,593,281.2980438,2.2,8.8,3,38,886958.25
3,45,62.41,921,10700,19,528,175.2894734,4.1,3.1,44,17,644430.06
4.7,43,65.66,4034,42924,6,914,75.01662395,1.6,8.4,3,9,640133.34
3.3,34,72.21,3140,32514,11,213,135.2636965,7.7,6,22,5,564237.03
4.2,63,47.47,4175,49664,19,451,61.51678336,8.9,4.6,39,34,693806.6
3,86,38.91,1654,19454,10,534,182.7238582,1.4,2.3,22,68,752704.54
3.8,41,45.74,3570,44348,16,402,80.58580396,5.7,7,14,8,442432.14
5,89,57.46,9157,99485,16,722,168.2768803,6.1,8.4,76,66,1171515.93
3.2,61,51.18,3103,32294,10,886,126.3769709,4.9,5.1,0,56,709620.9
3.8,52,49.4,3779,37179,18,131,240.3958506,5.5,5,36,46,597657.45
3.6,50,53.45,974,17166,18,314,170.5638207,7.4,7.8,23,47,617566.3
4.8,70,34.54,1665,24849,3,91,262.0463227,5.4,5.5,43,60,545427.77
4.7,71,28.75,5538,57313,12,248,285.3370947,9.3,8.1,64,7,481443.65
3.5,50,62.26,864,16308,10,432,292.3812171,5.9,1.5,44,9,701722.18
3.2,90,51.04,1475,14263,16,256,115.0490881,1.6,8.7,76,24,1035690.05
4.3,84,33.06,6217,69639,9,159,241.8921725,9.6,3.4,37,66,640202.39
3.7,60,47.99,2487,24540,18,693,159.5277051,2.3,2.5,16,53,660643.41
4.3,59,40.92,3436,38366,13,479,156.5432891,8.1,1.3,55,39,558304.1
3.1,67,36.69,1262,17309,14,792,267.0576036,5.7,8.5,50,46,567317.06
3.3,70,63.92,3107,39041,19,121,86.41722581,7.7,1.5,29,47,1015206.07
4.4,51,30.76,3409,42852,14,457,169.452577,5.6,9.6,19,18,374466.66
3.4,36,46.04,2186,23445,2,889,198.2208099,1.5,6.1,4,16,375929.41
4.7,76,33.76,5779,64754,11,685,66.53085677,4.4,7.3,68,25,595167.32
3.1,76,56.3,1990,27591,8,758,266.1285635,6.6,7.5,36,41,962322.85
3.4,83,40.23,1547,20996,3,328,128.5847771,6.7,3.6,79,5,746816.33
5,71,39.4,8590,88275,15,156,214.2049118,9.8,8.3,20,59,657403.95
3.9,51,32.94,2651,29854,13,488,282.0200004,6.5,9.5,33,4,396570.84
4.4,84,65.48,7175,77600,8,915,229.9386798,3.6,4.3,69,34,1239737.02
3.4,40,63.29,2351,22108,13,704,271.5026337,1.4,8.5,5,35,580941.9
4.2,39,46.97,963,12078,16,100,67.38617055,8.1,7.9,9,34,429438.88
4.5,72,55.29,4993,50577,1,172,173.1836685,9,6.3,5,11,891709.71
3.6,86,29.31,6460,68476,2,611,191.2080314,6.5,4.3,66,44,576984.44
4.7,38,70.22,2696,33410,13,480,222.2597202,5.3,4.7,24,3,610941.28
4.2,44,34.64,1368,17586,14,900,79.21456349,8.7,3.8,19,7,359672.98
3.8,63,68.09,2244,25275,2,842,214.19732,3.2,4.8,34,26,955836.88
4.1,48,74.85,1518,24197,16,600,86.49838772,4.6,9.9,0,27,816781
4.2,66,58.65,1199,20699,14,373,66.9032018,5.6,4.3,51,7,873658.25
3.3,69,36.36,981,12078,7,991,167.329802,1.4,7,30,43,567347.64
3.8,66,57.64,1940,23254,14,889,200.0938215,7.2,3.9,5,53,861872.38
3.7,65,38.77,1776,17886,18,424,289.5294069,2.7,5.2,8,13,579061.42
3.8,69,43.52,2098,21621,17,923,224.6563568,4,1.8,11,40,685824.29
4.5,77,58.26,4665,53437,5,830,197.8476904,4.7,7.9,65,69,1012874.57
4,36,62.5,1266,16523,11,727,103.6412252,6.7,6.9,2,21,516166.65
4.9,61,62.74,3629,42364,18,597,88.0110917,1.6,4.1,12,24,870008
3.6,30,31.19,1163,12374,16,470,201.8183062,4.1,5.7,8,7,229589.35
3.8,41,61.61,923,17715,10,987,105.7372598,3.5,8.8,39,38,578334.41
4.6,55,51.32,3716,37464,6,425,226.6512731,1,1.4,40,39,637700.88
